file,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
/home/asm140830/Documents/benchmarks/FossDroid31/results/DroidSafe/repetition_1/2-way/com.angrydoughnuts.android.alarmclock_15.apk_config_DroidSafe_33.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/DroidSafe/repetition_1/2-way/com.angrydoughnuts.android.alarmclock_15.apk_config_DroidSafe_34.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/DroidSafe/repetition_1/2-way/com.angrydoughnuts.android.alarmclock_15.apk_config_DroidSafe_35.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/DroidSafe/repetition_1/2-way/com.angrydoughnuts.android.alarmclock_15.apk_config_DroidSafe_36.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/DroidSafe/repetition_1/2-way/com.angrydoughnuts.android.alarmclock_15.apk_config_DroidSafe_37.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/DroidSafe/repetition_1/2-way/com.angrydoughnuts.android.alarmclock_15.apk_config_DroidSafe_38.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/DroidSafe/repetition_1/2-way/com.angrydoughnuts.android.alarmclock_15.apk_config_DroidSafe_39.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/DroidSafe/repetition_1/2-way/com.angrydoughnuts.android.alarmclock_15.apk_config_DroidSafe_3.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/DroidSafe/repetition_1/2-way/com.angrydoughnuts.android.alarmclock_15.apk_config_DroidSafe_40.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/DroidSafe/repetition_1/2-way/com.angrydoughnuts.android.alarmclock_15.apk_config_DroidSafe_41.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/DroidSafe/repetition_1/2-way/com.angrydoughnuts.android.alarmclock_15.apk_config_DroidSafe_42.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
